Category,id,Item.Title,Item.Price,Item.Total.Price,Item.Service.Fee,Item.Currency,Item.Brand,Item.Size,Item.Status,Item.URL,Item.Photo.URL,Item.Favorites,Seller.ID,Seller.Username,Seller.URL,Seller.Photo,Is.Business.Seller,Is.Promoted,Created.Date,Timestamp
Skirt,7729047115.0,90's dainty coquette prairie cottagecore white maxi skirt w eyelet trim,15.0,16.45,1.45,USD,Not Available,M / US 8-10,Very good,https://www.vinted.com/items/7729047115-90s-dainty-coquette-prairie-cottagecore-white-maxi-skirt-w-eyelet-trim,https://images1.vinted.net/t/05_00066_ZJEMkYzJXA2aVtE63CQwpZAp/f800/1765239361.webp?s=6970b8eb56b7dd85603ab278899dd47a2ac4ed28,27.0,70851070.0,ashleyyalicia,https://www.vinted.com/member/70851070-ashleyyalicia,https://images1.vinted.net/t/03_0248d_8MVrkEeEqXq8mq6Dh7zYDvoq/f800/1636503557.webp?s=a6225e1e29445636375187aba1fa43735ce387d6,No,No,12/9/2025,1765239361000.0
Skirt,7732216653.0,Skirt,7.0,8.05,1.05,USD,Zara,S / US 4-6,Very good,https://www.vinted.com/items/7732216653-skirt,https://images1.vinted.net/t/06_015d3_Hn5Z2GWKuxJf1ud1V6jQgArT/f800/1765293200.webp?s=f798f115190240ae752bf523e43e879cadede972,11.0,292348684.0,lollyh7,https://www.vinted.com/member/292348684-lollyh7,Not Available,No,No,12/9/2025,1765293200000.0
Skirt,7729113570.0,Shorts legging under,5.0,5.95,0.95,USD,All in Motion,L / US 12-14,New with tags,https://www.vinted.com/items/7729113570-shorts-legging-under,https://images1.vinted.net/t/05_002cf_1B4c9s9pi1i4YSzj1ARaPgBY/f800/1765245246.webp?s=3b7992f6aeebb7a5aa5ab8d9b961de3da7f2cba5,5.0,144921174.0,destinymmg,https://www.vinted.com/member/144921174-destinymmg,https://images1.vinted.net/t/02_0200b_n62r6n9Xf8sw8u7aP5jQ2ht5/f800/1684095643.webp?s=f8247dc297bf1835b88c627ecefb473f359dcffd,No,No,12/9/2025,1765245246000.0
Skirt,7741697938.0,Black midi skirt,15.0,16.45,1.45,USD,Banana Republic,XXS / US 0,New with tags,https://www.vinted.com/items/7741697938-black-midi-skirt,https://images1.vinted.net/t/06_01b54_ejjEAtDUtgvbjHCfEy5aaUqE/f800/1765415607.webp?s=c706ef7714155ed4dead7443e20416e2be17b719,8.0,310693344.0,shannonb500,https://www.vinted.com/member/310693344-shannonb500,Not Available,No,No,12/11/2025,1765415607000.0
Skirt,7729138111.0,Mini skirt,15.0,16.45,1.45,USD,Urban Outfitters,XS / US 2,New with tags,https://www.vinted.com/items/7729138111-mini-skirt,https://images1.vinted.net/t/06_01216_ZP2CXGXCwZ6tMfKKQcAVadBR/f800/1765249276.webp?s=d03d763872432a80af825799dd3237c480bb63f4,9.0,132253880.0,katelynharuko,https://www.vinted.com/member/132253880-katelynharuko,https://images1.vinted.net/t/02_00fcf_LyMpt9xAVMsTisKWARYgrnEH/f800/1676666694.webp?s=c19bec8fe1d477a31c77bc6bda37fcdaa98cc4ea,No,No,12/9/2025,1765249276000.0
Skirt,7735373971.0,Hollister Grey Skirt,8.0,9.1,1.1,USD,Hollister,M / US 8-10,Very good,https://www.vinted.com/items/7735373971-hollister-grey-skirt,https://images1.vinted.net/t/02_011e0_Q1QNa5AyUi3LPoHmAtA9LhSt/f800/1765328476.webp?s=a43499a047b1a00e795f977558d16af4c7d3fd2c,6.0,72288884.0,val96,https://www.vinted.com/member/72288884-val96,https://images1.vinted.net/t/04_00ec4_DHRPtBdGfUWyQZZ1496prZuB/f800/1742838432.webp?s=16f3fc5040acbe6c556281e86a419365ab6dde71,No,No,12/10/2025,1765328476000.0
Skirt,7733571950.0,Skirt,13.0,14.35,1.35,USD,her destiny,M / US 8-10,New with tags,https://www.vinted.com/items/7733571950-skirt,https://images1.vinted.net/t/05_020b3_YEozVLUCnzbCW9t1jSmgoh8X/f800/1765304623.webp?s=fccb1f0f2acfddfffc14ffc824c4c41ccad04347,3.0,3123519996.0,kekeiskey20,https://www.vinted.com/member/3123519996-kekeiskey20,https://images1.vinted.net/t/02_00e0a_ujjFULTEH9t4sEvbmBgXWVSN/f800/1765305012.webp?s=1ebdb8f58527125e5f7f22d1d6c6851aa7e4a4f4,No,No,12/9/2025,1765304623000.0
Skirt,7736109062.0,Ed Hardy denim mini skirt with skull and flames detail,25.0,26.95,1.95,USD,Ed Hardy,S / US 4-6,Good,https://www.vinted.com/items/7736109062-ed-hardy-denim-mini-skirt-with-skull-and-flames-detail,https://images1.vinted.net/t/05_00435_ajSRyV1tpyCrrL1uKSsf7qyz/f800/1765358582.webp?s=fbab094d09f0da77a204c00838f0030351a4c38e,4.0,3123566269.0,nya3x,https://www.vinted.com/member/3123566269-nya3x,Not Available,No,No,12/10/2025,1765358582000.0
Skirt,7741605397.0,Retro maxi skirt.,15.0,16.45,1.45,USD,Jackie,M / US 8-10,Good,https://www.vinted.com/items/7741605397-retro-maxi-skirt,https://images1.vinted.net/t/01_01975_Yzkht9vJ5kezD4gKSoHiCrKr/f800/1765409836.webp?s=34835035c8dbce5af5d5b6f87a05e6bc3a242305,11.0,72163488.0,lesliemcvay93,https://www.vinted.com/member/72163488-lesliemcvay93,https://images1.vinted.net/t/04_02109_PSTiAis7EcJh4ycjtdeDwTb1/f800/1753941767.webp?s=34a26d2d8dd4b6be392cd287d286577e782f8bb8,No,No,12/11/2025,1765409836000.0
Skirt,7732906350.0,PrettyLittleThing Gray Short Sleeve Bodysuit XS Womens casual wear new,4.0,4.9,0.9,USD,PrettyLittleThing,XS / US 2,New with tags,https://www.vinted.com/items/7732906350-prettylittlething-gray-short-sleeve-bodysuit-xs-womens-casual-wear-new,https://images1.vinted.net/t/06_004e3_jFS34JpZ6QpZHX6ozMDoLv7a/f800/1765299117.webp?s=6d298b1631fd42bafd419f5adcf612b0aaafbe01,6.0,284751829.0,virginia7478,https://www.vinted.com/member/284751829-virginia7478,https://images1.vinted.net/t/04_01e74_TZYeh7VWZxFNBCnt84XXRCQR/f800/1755087107.webp?s=5d3b55f18e4b1b6f477d9ff7dee618e02420df1a,No,No,12/9/2025,1765299117000.0
Skirt,7733295335.0,Poke a dot skirt,8.0,9.1,1.1,USD,Source Unknown,S / US 4-6,Good,https://www.vinted.com/items/7733295335-poke-a-dot-skirt,https://images1.vinted.net/t/06_015a8_E3en18MxzhHkP3U9iQ5SLbxc/f800/1765302347.webp?s=ee2b948686af863a3a64d485a949654cceba6e3c,2.0,71053686.0,mageorge16,https://www.vinted.com/member/71053686-mageorge16,https://images1.vinted.net/t/02_0064f_CCqUXhETfWMGc1UqGLD5aYqv/f800/1763066909.webp?s=9b5d1b818e5dbe9c83e78bc9b70c6133228ec3ff,No,No,12/9/2025,1765302347000.0
Skirt,7741601195.0,"Peignoir Flowy Long~Lace Bodice,Sheer 2 Layer Tulle,Mini Skirt Liner,Sexy, Privy",31.99,34.29,2.3,USD,Privy - privately privileged,Not Available,Very good,https://www.vinted.com/items/7741601195-peignoir-flowy-longlace-bodicesheer-2-layer-tullemini-skirt-linersexy-privy,https://images1.vinted.net/t/05_021ac_4k71spDC5LtBMAZSjyLVgfnP/f800/1765409680.webp?s=d2740407e921761e8ac4283cee2dea3794964bd6,0.0,3123757506.0,bitofeverythingin21,https://www.vinted.com/member/3123757506-bitofeverythingin21,Not Available,No,No,12/11/2025,1765409680000.0
Sweater,7728621122.0,Sweatshirt,8.0,9.1,1.1,USD,Goodfellow & CO,L,New with tags,https://www.vinted.com/items/7728621122-sweatshirt,https://images1.vinted.net/t/05_00f7a_JJNHM1iGbcWU7bjNY81VeWoj/f800/1765230013.webp?s=73e35710d4cbdc365958723e50bddd4adb7c3cbd,8.0,144921174.0,destinymmg,https://www.vinted.com/member/144921174-destinymmg,https://images1.vinted.net/t/02_0200b_n62r6n9Xf8sw8u7aP5jQ2ht5/f800/1684095643.webp?s=f8247dc297bf1835b88c627ecefb473f359dcffd,No,No,12/8/2025,1765230013000.0
Sweater,7735537062.0,Off the shoulder pullover,5.0,5.95,0.95,USD,NO LABEL,M / US 8-10,Very good,https://www.vinted.com/items/7735537062-off-the-shoulder-pullover,https://images1.vinted.net/t/02_0183f_Y9zY62Uj6cdAhLfjiJNuZuvu/f800/1765348012.webp?s=d1b6f42fe1fb5f6edc4e83af5977a309151595c5,16.0,305588129.0,mota_azzo,https://www.vinted.com/member/305588129-motaazzo,https://images1.vinted.net/t/05_02404_xhTbXYDVgnkyPAwCk2yneDEX/f800/1760572983.webp?s=0a6c79223a86091fda69e5b73ee3f8db384f0974,No,No,12/10/2025,1765348012000.0
Sweater,7735392707.0,Unisex Waffle Knit Sweater,5.5,6.48,0.98,USD,Brave Soul,S,Very good,https://www.vinted.com/items/7735392707-unisex-waffle-knit-sweater,https://images1.vinted.net/t/05_00a41_DMGdKuhoa5QUNtbLujcytdNw/f800/1765330813.webp?s=8f9044193f67f16744dc901c1dcb20c2fcff2d3a,6.0,310194927.0,r3voblanko,https://www.vinted.com/member/310194927-r3voblanko,https://images1.vinted.net/t/05_01534_fggNs7EwnM7o9KnycKotEDMP/f800/1762569435.webp?s=887cbcb21c3f325fa409f94aa049fad859ef45fd,No,No,12/10/2025,1765330813000.0
